Cluster,Lng,Lat
541,122.57011795,10.695211647499999
542,122.56973776666666,10.695706683333333
543,122.5717621,10.69338226
544,122.5731354,10.69229126
545,122.57316843333335,10.692303336666667
546,122.57300262000001,10.692585566
547,122.57233683333334,10.692753793333333
548,122.5736694,10.692048549999999
549,122.56900533333334,10.698681513333334
550,122.56912483333333,10.701130229999999
551,122.569040325,10.7010698325
552,122.5689926,10.701134298
553,122.56888795714285,10.701491898571428
554,122.5689697,10.697320940000001
555,122.56931300000001,10.69629288
556,122.56933285999999,10.696299934
557,122.5693741,10.69628525
558,122.5693741,10.69628048
559,122.56925959999998,10.69651508
560,122.5693207,10.69652367
561,122.56921389999998,10.69644356
562,122.56926220000001,10.696393013333333
563,122.56536638,10.701079752999998
564,122.558404925,10.7002212975
565,122.55888365,10.700268744999999
566,122.56391525000001,10.700905800000001
567,122.499649,10.69280148
568,122.4997025,10.69283009
569,122.5702133,10.69195938
570,122.57021330000002,10.69196033
571,122.54241436666666,10.6968387
572,122.54407044,10.697741508
573,122.54404905999999,10.697708129999999
574,122.5645447,10.69329739
575,122.5645828,10.69329834
576,122.5673447,10.697865678
577,122.56730905,10.697842596666666
578,122.5710754,10.693790120000001
579,122.5717697,10.693399746666666
580,122.5717621,10.69340038
581,122.572322875,10.6931550475
582,122.57283785,10.692706585
583,122.5737534,10.691880704999999
584,122.5737038,10.691839695
585,122.56911466666666,10.699020066666668
586,122.56909069999999,10.697421892857141
587,122.56918416666667,10.697079446666667
588,122.56909465,10.697189569999999
589,122.55470280000002,10.69970131
590,122.552223225,10.699424745
591,122.55215196666666,10.699445406666667
592,122.5518074,10.699433800000001
593,122.56479133333335,10.701013246666667
594,122.5648651,10.70092964
595,122.5671234,10.70132446
596,122.5668488,10.7012701
597,122.5595856,10.70032787
598,122.56337737999999,10.700744628
599,122.49961952666666,10.692799889333333
600,122.49964140000002,10.69282722
601,122.4996643,10.692806240000001
602,122.4996872,10.69282532
603,122.4996948,10.69283581
604,122.49970249999998,10.69285297
605,122.4997101,10.69285011
606,122.54390969999999,10.696586609999999
607,122.5425262,10.69698715
608,122.5647812,10.69446754
609,122.5663147,10.694410319999998
610,122.56633,10.694377583333333
611,122.56783803333333,10.696864443333334
612,122.56784680909091,10.696795984545455
613,122.5699387,10.69552708
614,122.57245126666668,10.693025586666666
615,122.57235934285714,10.693065507142858
616,122.5690613,10.701334949999998
617,122.5690536,10.70133066
618,122.56903836000001,10.70118427
619,122.5686493,10.70140362
620,122.5690435,10.697619436666669
621,122.56903231999999,10.697541334
622,122.5546341,10.699744856666667
623,122.55205283333333,10.699442863333333
624,122.5517171,10.699403763333335
625,122.5516796,10.69936848
626,122.5538406,10.69954459
627,122.5524368,10.69950199
628,122.55248769999999,10.699447313333332
629,122.5526047,10.69943333
630,122.5526047,10.699430470000001
631,122.5526657,10.69963551
632,122.566391,10.70091963
633,122.56676634,10.701275636
634,122.55744169999998,10.700101850000001
635,122.5573807,10.70007896
636,122.5579376,10.70014477
637,122.55579251666667,10.69993957
638,122.55591964999999,10.699968815
639,122.49964140000002,10.692798610000002
640,122.49963380000001,10.692796868333332
641,122.49966810000001,10.692814825
642,122.4996872,10.69284248
643,122.4997025,10.69287014
644,122.4996948,10.69287205
645,122.5439224,10.69663811
646,122.54279634,10.6971159
647,122.5647964,10.69451332
648,122.5647278,10.69448566
649,122.5647202,10.69449329
650,122.56474762,10.694472123999999
651,122.564743,10.694489006666666
652,122.5663071,10.69471169
653,122.56777407142856,10.696895874285714
654,122.56774600000001,10.696844292
655,122.5678482,10.69672966
656,122.571106,10.69387341
657,122.5711136,10.69387277
658,122.57105259999999,10.69381618
659,122.5686493,10.70141506
660,122.56864930000002,10.70141697
661,122.55456543999999,10.69974785
662,122.5520554,10.69939423
663,122.5520935,10.699361009999999
664,122.55158807500001,10.69949293
665,122.5532074,10.69968319
666,122.55320892,10.69958878
667,122.55311858181818,10.699542304545453
668,122.55304566,10.699463082
669,122.55381770000001,10.69980717
670,122.5525742,10.69958115
671,122.5525742,10.69959259
672,122.5528488,10.69950294
673,122.56602733333335,10.701221784444446
674,122.56733704000001,10.701407432
675,122.56723026666667,10.701417286666668
676,122.55778376666667,10.700064339999999
677,122.5558167,10.69995117
678,122.5558243,10.69995975
679,122.55973820000001,10.70031643
680,122.56364311666668,10.70088641
681,122.4996643,10.692824359999998
682,122.49965285,10.6928215
683,122.4996948,10.69282055
684,122.49969479999999,10.69282341
685,122.4997025,10.692814795714286
686,122.4996948,10.692845344999999
687,122.49970249999998,10.69284344
688,122.54254406666666,10.69686254
689,122.5647964,10.69448948
690,122.5647964,10.69449043
691,122.56635358000001,10.694463823
692,122.5678177,10.69673824
693,122.56780088000001,10.696757888
694,122.5699463,10.69544601
695,122.56994630000001,10.695451740000001
696,122.57107796666666,10.69382922
697,122.5710983,10.693847659999998
